Carnet,Nombre Completo,Medio de Transporte,Zona donde vive,Relacion,Hora a la que llega a la universidad [Lunes],Hora a la que llega a la universidad [Martes],Hora a la que llega a la universidad [Miércoles],Hora a la que llega a la universidad [Jueves],Hora a la que llega a la universidad [Viernes],Sede,Tipo de Ruta,Ruta,Tiempo en llegar a la Universidad
18-00773,Kevin Diaz ,Transporte Universitario,Gato Negro,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
14-03745,Tyler Sanchez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,No uso el transporte USB,8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
15-08273,Amanda Williams ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
14-03108,Brooke Sanchez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
15-06226,Sarah Rojas ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,No uso el transporte USB,No uso el transporte USB,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 3 y 4 horas
17-00377,Brandon Martinez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
17-00617,Emily Diaz ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 3 y 4 horas
15-04317,Sarah Sanchez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,8 a. m.,8 a. m.,Antes de las 8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
16-00591,Ethan Mendoza ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
16-00177,Julia Ramirez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
15-08629,Nicholas Romero ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
18-00835,Zachary Moreno ,Transporte Universitario,Catia la Mar,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
13-10653,Benjamin Andrew,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
17-00791,James Lopez ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 3 y 4 horas
18-00189,Nicole Sanchez ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
17-00835,Jacob Diaz ,Transporte Universitario,Naiguatá,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
18-00167,Christopher Ramirez ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,8 a. m.,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
13-04888,Brandon Romero ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,No uso el transporte USB,No uso el transporte USB,8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
