CARNET,CEDULA,APELLIDOS,NOMBRES,CODIGO_MATERIA,SECCION,DESCRIPCION,creditos,dia,hora_inicio,hora_fin
1800165,29211121,ROJAS,ASHLEY STEPHANIE,FC-1422,5,INTRODUCCION A LA ENCANTACION,3,1,1,3
1800165,29211121,ROJAS,ASHLEY STEPHANIE,FC-1422,5,INTRODUCCION A LA ENCANTACION,3,4,3,4
1800165,29211121,ROJAS,ASHLEY STEPHANIE,AM-1124,1,FUNDAMENTACION TEORICA DEL TURISMO,3,5,1,4
1800165,29211121,ROJAS,ASHLEY STEPHANIE,AM-1425,6,FUNDAMENTOS DE DERECHO,3,5,5,8
1800930,28971852,GUTIERREZ RODRIGUEZ,JESSICA STEPHANIE,FC-1321,2,LENGUAJE I,3,2,1,2
1800930,28971852,GUTIERREZ RODRIGUEZ,JESSICA STEPHANIE,FC-1321,2,LENGUAJE I,3,4,1,2
1800930,28971852,GUTIERREZ RODRIGUEZ,JESSICA STEPHANIE,FCA-151,2,HOMBRE: CULTURA Y COOPERACIONEDAD I,3,2,4,6
1700608,27664922,GOMEZ,MEGAN,AM-2126,1,MERCADEO TURISTICO,3,1,2,3
1700608,27664922,GOMEZ,MEGAN,AM-2126,1,MERCADEO TURISTICO,3,2,1,2
1404176,24262346,JIMENEZ DIAZ,HANNAH SAMANTHA,TI-3116,1,LABORATORIO DE ESCOBATRÓNICA DE POTENCIA,2,3,6,9
1600227,26244313,RAMIREZ ROJAS,AMANDA LAUREN,TI-2224,1,CIRCUITOS DIGITALES,3,1,6,7
1600227,26244313,RAMIREZ ROJAS,AMANDA LAUREN,TI-2224,1,CIRCUITOS DIGITALES,3,4,6,8
1501446,26945057,CASTILLO TORRES,ELIZABETH MEGAN,AM-4810,1,DERECHO NUMEROMICO INTERNACIONAL,3,1,1,2
1501446,26945057,CASTILLO TORRES,ELIZABETH MEGAN,AM-4810,1,DERECHO NUMEROMICO INTERNACIONAL,3,3,1,2
